email,first_name,last_name,company,position,industry,company_size,phone,website,source
mail@service-krueger.de,,,Krüger & Partner UG,Geschäftsführer,Energie,30-150,,www.service-krueger.de,Generated
mail@wagner-metall.de,,,Wagner Metall GmbH & Co. KG,Geschäftsführer,E-Commerce,20-100,,www.wagner-metall.de,Generated
kontakt@bau-neumann.de,,,Bau Neumann AG,Geschäftsführer,Dienstleistung,50-200,,www.bau-neumann.de,Generated
info@lange-it.de,,,Lange IT GmbH,Geschäftsführer,Logistik,20-100,,www.lange-it.de,Generated
mail@it-mueller.de,,,Freiburger IT KG,Geschäftsführer,Bildung,30-150,,www.it-mueller.de,Generated
info@weber-transport.de,,,Erlangener Transport GmbH,Geschäftsführer,Maschinenbau,20-100,,www.weber-transport.de,Generated
info@mueller.de,,,Digital Müller KG,Geschäftsführer,Logistik,10-50,,www.mueller.de,Generated
office@mueller.de,,,Wolfsburger Digital GmbH,Geschäftsführer,Logistik,30-150,,www.mueller.de,Generated
kontakt@service-lange.de,,,Service Lange GmbH & Co. KG,Geschäftsführer,Großhandel,10-50,,www.service-lange.de,Generated
office@digital-berger.de,,,Digital Berger AG,Geschäftsführer,Logistik,30-150,,www.digital-berger.de,Generated
info@becker-holz.de,,,Becker Holz-Service AG,Geschäftsführer,Großhandel,20-100,,www.becker-holz.de,Generated
office@krause-handel.de,,,Handel Krause GmbH,Geschäftsführer,Großhandel,50-200,,www.krause-handel.de,Generated
kontakt@schulz.de,,,Schulz Handel-Service GmbH,Geschäftsführer,Marketing,10-50,,www.schulz.de,Generated
kontakt@meyer-solutions.de,,,Meyer Solutions AG,Geschäftsführer,Gesundheit,20-100,,www.meyer-solutions.de,Generated
office@neumann.de,,,Trierer Metall AG,Geschäftsführer,Bildung,10-50,,www.neumann.de,Generated
mail@klein.de,,,Klein Immobilien-Service AG,Geschäftsführer,Maschinenbau,30-150,,www.klein.de,Generated
office@auto-walter.de,,,Oberhausener Auto GmbH,Geschäftsführer,IT-Dienstleistung,50-200,,www.auto-walter.de,Generated
mail@sanitär-hoffmann.de,,,Hoffmann Sanitär KG,Geschäftsführer,Handwerk,10-50,,www.sanitär-hoffmann.de,Generated
info@braun-solutions.de,,,Halleer Solutions GmbH,Geschäftsführer,Handwerk,20-100,,www.braun-solutions.de,Generated
office@krause.de,,,Düsseldorfer IT UG,Geschäftsführer,Beratung,30-150,,www.krause.de,Generated
kontakt@logistik-fischer.de,,,Logistik Fischer e.K.,Geschäftsführer,Immobilien,20-100,,www.logistik-fischer.de,Generated
kontakt@hermann.de,,,Consulting Hermann e.K.,Geschäftsführer,Beratung,50-200,,www.hermann.de,Generated
mail@koenig.de,,,König Technik GmbH & Co. KG,Geschäftsführer,E-Commerce,30-150,,www.koenig.de,Generated
kontakt@systems-jung.de,,,Solingener Systems AG,Geschäftsführer,Logistik,10-50,,www.systems-jung.de,Generated
info@bau-mueller.de,,,Müller Bau UG,Geschäftsführer,Beratung,30-150,,www.bau-mueller.de,Generated
mail@lange-auto.de,,,Lange Auto KG,Geschäftsführer,Maschinenbau,30-150,,www.lange-auto.de,Generated
kontakt@fischer.de,,,Fischer Garten-Service KG,Geschäftsführer,E-Commerce,20-100,,www.fischer.de,Generated
info@wolf.de,,,Wolf Handel-Service GmbH,Geschäftsführer,E-Commerce,20-100,,www.wolf.de,Generated
office@transport-moeller.de,,,Würzburger Transport e.K.,Geschäftsführer,Handel,30-150,,www.transport-moeller.de,Generated
mail@schmidt-holz.de,,,Schmidt Holz GmbH,Geschäftsführer,Gesundheit,20-100,,www.schmidt-holz.de,Generated
mail@moeller-logistik.de,,,Möller Logistik e.K.,Geschäftsführer,Finanzdienstleistung,10-50,,www.moeller-logistik.de,Generated
office@auto-koenig.de,,,Magdeburger Auto e.K.,Geschäftsführer,Handwerk,20-100,,www.auto-koenig.de,Generated
office@zimmermann-transport.de,,,Transport Zimmermann e.K.,Geschäftsführer,Maschinenbau,50-200,,www.zimmermann-transport.de,Generated
office@immobilien-roth.de,,,Roth & Partner GmbH & Co. KG,Geschäftsführer,Dienstleistung,30-150,,www.immobilien-roth.de,Generated
mail@vogel-consulting.de,,,Krefelder Consulting UG,Geschäftsführer,Einzelhandel,20-100,,www.vogel-consulting.de,Generated
kontakt@becker.de,,,Becker Elektro-Service UG,Geschäftsführer,Handwerk,10-50,,www.becker.de,Generated
kontakt@becker-metall.de,,,Metall Becker GmbH,Geschäftsführer,Immobilien,20-100,,www.becker-metall.de,Generated
info@moeller-solutions.de,,,Möller Solutions-Service KG,Geschäftsführer,E-Commerce,30-150,,www.moeller-solutions.de,Generated
kontakt@hermann-logistik.de,,,Logistik Hermann GmbH & Co. KG,Geschäftsführer,IT-Dienstleistung,20-100,,www.hermann-logistik.de,Generated
mail@metall-becker.de,,,Becker Metall UG,Geschäftsführer,Beratung,10-50,,www.metall-becker.de,Generated
